Id,Name,Client_ID__c,Partner_Name__c
a0ZVD000005Naw22AC,ACME_HEALTH_APP,97554902,ACME_HEALTH_APP
a0ZVD000005Navx2AC,Aetna,97553602,Aetna
a0ZVD000005Naw02AC,AetnaGSS,97554902,AetnaGSS
a0ZVD000005Naw82AC,Amazon,97554902,Amazon
a0ZVD000005Naw72AC,AMAZON INSIGHTS,,AMAZON INSIGHTS
a0ZVD000005Naw42AC,APPLE_HEALTH,73949611,APPLE_HEALTH
a0ZVD000005Naw62AC,FUNCTION_HEALTH,97554902,FUNCTION_HEALTH
a0ZVD000005Naw92AC,GOOGLE_HEALTH_STUDY,73949616,google
a0ZVD000005Naw12AC,Insurance Pay,97553807,Insurance
a0ZVD000005Naw52AC,saturn,73942126,Saturn
a0ZVD000005Navz2AC,Self Pay,97554902,Client Pay
a0ZVD000005Navy2AC,Self Pay,97553807,Client
a0ZVD000005NawA2AS,WAYS_2_WELL,73915800,WAYS_2_WELL
a0ZVD000005Naw32AC,WEIGHT_WATCHERS,73949620,WEIGHT_WATCHERS
